delta1,delta2,delta3,delta4
0086,0132,0218,0188,
0095,0154,0264,0222,
0095,0157,0286,0222,
0097,0160,0287,0224,
0094,0160,0286,0222,
0092,0150,0255,0215,
0084,0136,0234,0185,
0078,0127,0211,0179,
0072,0110,0188,0162,
0072,0109,0174,0147,
0066,0097,0165,0141,
0066,0093,0162,0141,
0066,0093,0162,0141,
0066,0093,0162,0141,
0066,0093,0162,0141,
0068,0098,0169,0150,
0081,0117,0195,0177,
0083,0117,0208,0182,
0084,0124,0223,0188,
0093,0146,0255,0221,
0093,0149,0267,0223,
0093,0149,0267,0223,
0093,0149,0267,0223,
0093,0149,0267,0223,
0091,0149,0266,0211,
0088,0148,0253,0207,
0075,0123,0218,0179,
0072,0112,0191,0158,
0069,0111,0179,0156,
0067,0099,0167,0147,
