delta1,delta2,delta3,delta4
0001,0002,0000,-001,
0001,0002,0000,-001,
0001,0002,0000,-001,
0001,0001,0001,-001,
0001,0001,0001,-001,
0001,0001,0001,-001,
0001,-001,0001,0001,
0001,-001,0001,0001,
0001,-001,0001,0001,
0002,0001,0000,0000,
0002,0001,0000,0000,
0002,0001,0000,0000,
0005,0003,0003,0005,
0005,0003,0003,0005,
0005,0003,0003,0005,
0005,0004,0004,0003,
0005,0004,0004,0003,
0005,0004,0004,0003,
0002,0001,0002,-003,
0002,0001,0002,-003,
0002,0001,0002,-003,
0002,0006,0006,0004,
0002,0006,0006,0004,
0002,0006,0006,0004,
0001,0003,0002,0001,
0001,0003,0002,0001,
0001,0003,0002,0001,
0004,0001,0002,0000,
0004,0001,0002,0000,
0004,0001,0002,0000,
